events,placarFull,placarHafTime,golsHalfTime,timesgol
Dortmund v Schalke,3-0,0 - 0,"[55, 61, 78]",55
Bayern v Frankfurt,5-0,2 - 0,"[60, 72, 90]",60
Mainz v Monchengladbach,2-3,2 - 1,"[76, 83]",76
RB Leipzig v Hertha,2-1,1 - 1,[77],77
Union Berlin v Freiburg,1-1,1 - 1,[],100
Stuttgart v Köln,1-1,1 - 1,[],100
Schalke v Union Berlin,1-1,0 - 0,"[55, 69]",55
Köln v Frankfurt,1-1,0 - 1,[52],52
Monchengladbach v Wolfsburg,1-1,0 - 0,"[78, 85]",78
Bielefeld v Bayern,1-4,0 - 3,"[51, 58]",51
Augsburg v RB Leipzig,0-2,0 - 1,[66],66
Freiburg v Bremen,1-1,1 - 1,[],100
Hertha v Stuttgart,0-2,0 - 1,[68],68
Hoffenheim v Dortmund,0-1,0 - 0,[76],76
Mainz v Leverkusen,0-1,0 - 1,[],100
Bayern v Hertha,4-3,1 - 0,"[51, 59, 71, 85, 88, 93]",51
Wolfsburg v Augsburg,0-0,0 - 0,[],100
RB Leipzig v Schalke,4-0,3 - 0,[80],80
Bremen v Bielefeld,1-0,1 - 0,[],100
Dortmund v Freiburg,4-0,1 - 0,"[47, 66, 92]",47
Frankfurt v Hoffenheim,2-1,0 - 1,"[54, 71]",54
Köln v Monchengladbach,1-3,0 - 2,"[56, 84]",56
Stuttgart v Leverkusen,1-1,0 - 1,[76],76
Union Berlin v Mainz,4-0,1 - 0,"[49, 63, 64]",49
Freiburg v Wolfsburg,1-1,1 - 1,[],100
Hoffenheim v Bayern,4-1,2 - 1,"[77, 92]",77
Schalke v Bremen,1-3,0 - 2,"[59, 93]",59
Augsburg v Dortmund,2-0,1 - 0,[54],54
Bielefeld v Köln,1-0,0 - 0,[78],78
Leverkusen v RB Leipzig,1-1,1 - 1,[],100
Mainz v Stuttgart,1-4,1 - 1,"[61, 80, 86]",61
Monchengladbach v Union Berlin,1-1,0 - 0,"[56, 80]",56
Hertha v Frankfurt,1-3,0 - 2,"[71, 78]",71
Wolfsburg v Leverkusen,0-0,0 - 0,[],100
RB Leipzig v Mainz,3-1,2 - 0,"[48, 51]",48
Dortmund v Monchengladbach,3-0,1 - 0,"[54, 77]",54
Bremen v Hertha,1-4,0 - 2,"[62, 69, 90]",62
Frankfurt v Bielefeld,1-1,0 - 0,"[51, 62]",51
Köln v Hoffenheim,2-3,1 - 2,"[86, 92]",86
Stuttgart v Freiburg,2-3,0 - 2,"[48, 71, 81]",48
Union Berlin v Augsburg,1-3,0 - 1,"[75, 82, 89]",75
