data,events,placarFull,placarHafTime,golsHalfTime,timesgol
16.01.2022,Troyes v Lyon,0-1,0 - 1,[],100
16.01.2022,Lorient v Angers,0-0,0 - 0,[],100
16.01.2022,Monaco v Clermont,4-0,1 - 0,"[55, 62, 83]",55
16.01.2022,Reims v Metz,0-1,0 - 0,[61],61
16.01.2022,Strasbourg v Montpellier,3-1,0 - 1,"[77, 84, 86]",77
16.01.2022,Rennes v Bordeaux,6-0,2 - 0,"[61, 69, 89, 91]",61
15.01.2022,PSG v Brest,2-0,1 - 0,[53],53
15.01.2022,St. Etienne v Lens,1-2,1 - 0,"[77, 95]",77
14.01.2022,Nice v Nantes,2-1,1 - 1,[56],56
09.01.2022,Lyon v PSG,1-1,1 - 0,[76],76
09.01.2022,Nantes v Monaco,0-0,0 - 0,[],100
09.01.2022,Clermont v Reims,0-0,0 - 0,[],100
09.01.2022,Metz v Strasbourg,0-2,0 - 0,"[50, 91]",50
09.01.2022,Brest v Nice,0-3,0 - 1,"[79, 93]",79
08.01.2022,Lens v Rennes,1-0,0 - 0,[89],89
07.01.2022,Bordeaux v Marseille,0-1,0 - 1,[],100
22.12.2021,Bordeaux v Lille,2-3,2 - 1,"[77, 84]",77
22.12.2021,Lorient v PSG,1-1,1 - 0,[91],91
22.12.2021,Lyon v Metz,1-1,0 - 0,"[56, 58]",56
22.12.2021,Marseille v Reims,1-1,0 - 0,"[75, 97]",75
22.12.2021,Monaco v Rennes,2-1,1 - 1,[72],72
22.12.2021,Montpellier v Angers,4-1,2 - 1,"[51, 76]",51
22.12.2021,Nice v Lens,2-1,0 - 1,"[63, 79]",63
22.12.2021,St. Etienne v Nantes,0-1,0 - 0,[83],83
22.12.2021,Troyes v Brest,1-1,0 - 1,[80],80
12.12.2021,PSG v Monaco,2-0,2 - 0,[],100
12.12.2021,Strasbourg v Marseille,0-2,0 - 0,"[62, 82]",62
12.12.2021,Angers v Clermont,0-1,0 - 0,[84],84
12.12.2021,Metz v Lorient,4-1,3 - 0,"[69, 80]",69
12.12.2021,Rennes v Nice,1-2,0 - 1,"[51, 59]",51
12.12.2021,Troyes v Bordeaux,1-2,1 - 1,[54],54
12.12.2021,Lille v Lyon,0-0,0 - 0,[],100
11.12.2021,Reims v St. Etienne,2-0,1 - 0,[89],89
11.12.2021,Brest v Montpellier,0-4,0 - 1,"[47, 60, 85]",47
10.12.2021,Nantes v Lens,3-2,0 - 2,"[49, 57, 90]",49
05.12.2021,Bordeaux v Lyon,2-2,1 - 2,[58],58
05.12.2021,Nice v Strasbourg,0-3,0 - 1,"[81, 84]",81
05.12.2021,Lorient v Nantes,0-1,0 - 0,[83],83
05.12.2021,Monaco v Metz,4-0,2 - 0,"[57, 87]",57
05.12.2021,Montpellier v Clermont,1-0,1 - 0,[],100
05.12.2021,Reims v Angers,1-2,0 - 0,"[49, 59, 75]",49
05.12.2021,St. Etienne v Rennes,0-5,0 - 3,"[48, 83]",48
04.12.2021,Lens v PSG,1-1,0 - 0,"[62, 91]",62
04.12.2021,Lille v Troyes,2-1,0 - 1,"[48, 85]",48
04.12.2021,Marseille v Brest,1-2,1 - 0,"[53, 70]",53
01.12.2021,Clermont v Lens,2-2,1 - 1,"[47, 65]",47
01.12.2021,Lyon v Reims,1-2,0 - 0,"[56, 66, 92]",56
