data,events,placarFull,placarHafTime,golsHalfTime,timesgol
22.12.2021,Sassuolo v Bologna,0-3,0 - 2,[94],94
22.12.2021,Venezia v Lazio,1-3,1 - 1,"[48, 95]",48
21.12.2021,Genoa v Atalanta,0-0,0 - 0,[],100
21.12.2021,Juventus v Cagliari,2-0,1 - 0,[83],83
19.12.2021,AC Milan v Napoli,0-1,0 - 1,[],100
19.12.2021,Sampdoria v Venezia,1-1,1 - 0,[87],87
19.12.2021,Torino v Verona,1-0,1 - 0,[],100
19.12.2021,Spezia v Empoli,1-1,0 - 0,"[50, 71]",50
19.12.2021,Fiorentina v Sassuolo,2-2,0 - 2,"[51, 61]",51
18.12.2021,Cagliari v Udinese,0-4,0 - 2,"[50, 69]",50
18.12.2021,Bologna v Juventus,0-2,0 - 1,[69],69
18.12.2021,Atalanta v AS Roma,1-4,1 - 2,"[72, 82]",72
17.12.2021,Salernitana v Inter,0-5,0 - 2,"[52, 77, 87]",52
17.12.2021,Lazio v Genoa,3-1,1 - 0,"[75, 81, 86]",75
13.12.2021,AS Roma v Spezia,2-0,1 - 0,[56],56
12.12.2021,Inter v Cagliari,4-0,1 - 0,"[50, 66, 68]",50
12.12.2021,Napoli v Empoli,0-1,0 - 0,[70],70
12.12.2021,Sassuolo v Lazio,2-1,0 - 1,"[63, 69]",63
12.12.2021,Verona v Atalanta,1-2,1 - 1,[62],62
12.12.2021,Torino v Bologna,2-1,1 - 0,"[69, 79]",69
11.12.2021,Udinese v AC Milan,1-1,1 - 0,[92],92
11.12.2021,Venezia v Juventus,1-1,0 - 1,[55],55
11.12.2021,Fiorentina v Salernitana,4-0,1 - 0,"[51, 84, 90]",51
10.12.2021,Genoa v Sampdoria,1-3,0 - 1,"[49, 67, 78]",49
06.12.2021,Cagliari v Torino,1-1,0 - 1,[53],53
06.12.2021,Empoli v Udinese,3-1,0 - 1,"[49, 59, 78]",49
05.12.2021,Juventus v Genoa,2-0,1 - 0,[82],82
05.12.2021,Sampdoria v Lazio,1-3,0 - 3,[89],89
05.12.2021,Spezia v Sassuolo,2-2,1 - 0,"[48, 66, 79]",48
05.12.2021,Venezia v Verona,3-4,3 - 0,"[52, 65, 67, 85]",52
05.12.2021,Bologna v Fiorentina,2-3,1 - 1,"[51, 67, 83]",51
04.12.2021,Napoli v Atalanta,2-3,1 - 1,"[47, 66, 71]",47
04.12.2021,AS Roma v Inter,0-3,0 - 3,[],100
04.12.2021,AC Milan v Salernitana,2-0,2 - 0,[],100
02.12.2021,Lazio v Udinese,4-4,1 - 3,"[51, 56, 79, 99]",51
02.12.2021,Torino v Empoli,2-2,2 - 1,[72],72
01.12.2021,Genoa v AC Milan,0-3,0 - 2,[61],61
01.12.2021,Sassuolo v Napoli,2-2,0 - 0,"[51, 59, 71, 89]",51
01.12.2021,Bologna v AS Roma,1-0,1 - 0,[],100
01.12.2021,Inter v Spezia,2-0,1 - 0,[58],58
30.11.2021,Salernitana v Juventus,0-2,0 - 1,[70],70
30.11.2021,Verona v Cagliari,0-0,0 - 0,[],100
30.11.2021,Atalanta v Venezia,4-0,2 - 0,"[57, 67]",57
30.11.2021,Fiorentina v Sampdoria,3-1,3 - 1,[],100
28.11.2021,Napoli v Lazio,4-0,3 - 0,[85],85
28.11.2021,AS Roma v Torino,1-0,1 - 0,[],100
28.11.2021,AC Milan v Sassuolo,1-3,1 - 2,[66],66
28.11.2021,Spezia v Bologna,0-1,0 - 0,[83],83
28.11.2021,Udinese v Genoa,0-0,0 - 0,[],100
27.11.2021,Venezia v Inter,0-2,0 - 1,[96],96
27.11.2021,Juventus v Atalanta,0-1,0 - 1,[],100
27.11.2021,Empoli v Fiorentina,2-1,0 - 0,"[57, 87, 89]",57
27.11.2021,Sampdoria v Verona,3-1,0 - 1,"[51, 77, 90]",51
26.11.2021,Cagliari v Salernitana,1-1,0 - 0,"[73, 90]",73
22.11.2021,Torino v Udinese,2-1,1 - 0,"[48, 77]",48
22.11.2021,Verona v Empoli,2-1,0 - 0,"[49, 67, 91]",49
21.11.2021,Genoa v AS Roma,0-2,0 - 0,"[82, 94]",82
21.11.2021,Inter v Napoli,3-2,2 - 1,"[61, 79]",61
21.11.2021,Bologna v Venezia,0-1,0 - 0,[61],61
21.11.2021,Salernitana v Sampdoria,0-2,0 - 2,[],100
21.11.2021,Sassuolo v Cagliari,2-2,1 - 1,"[52, 56]",52
20.11.2021,Fiorentina v AC Milan,4-3,2 - 0,"[60, 62, 67, 85, 96]",60
20.11.2021,Lazio v Juventus,0-2,0 - 1,[83],83
20.11.2021,Atalanta v Spezia,5-2,3 - 1,"[83, 89, 91]",83
07.11.2021,AC Milan v Inter,1-1,1 - 1,[],100
07.11.2021,Lazio v Salernitana,3-0,2 - 0,[69],69
07.11.2021,Napoli v Verona,1-1,1 - 1,[],100
07.11.2021,Sampdoria v Bologna,1-2,0 - 0,"[47, 77, 78]",47
07.11.2021,Udinese v Sassuolo,3-2,2 - 2,[51],51
07.11.2021,Venezia v AS Roma,3-2,1 - 2,"[65, 74]",65
06.11.2021,Cagliari v Atalanta,1-2,1 - 2,[],100
06.11.2021,Juventus v Fiorentina,1-0,0 - 0,[91],91
06.11.2021,Spezia v Torino,1-0,0 - 0,[58],58
05.11.2021,Empoli v Genoa,2-2,0 - 1,"[62, 72, 89]",62
01.11.2021,Bologna v Cagliari,2-0,0 - 0,"[49, 96]",49
31.10.2021,AS Roma v AC Milan,1-2,0 - 1,"[57, 93]",57
31.10.2021,Salernitana v Napoli,0-1,0 - 0,[61],61
31.10.2021,Fiorentina v Spezia,3-0,1 - 0,"[62, 74]",62
31.10.2021,Genoa v Venezia,0-0,0 - 0,[],100
31.10.2021,Sassuolo v Empoli,1-2,1 - 0,"[83, 92]",83
31.10.2021,Inter v Udinese,2-0,0 - 0,"[60, 68]",60
30.10.2021,Torino v Sampdoria,3-0,1 - 0,"[52, 93]",52
30.10.2021,Verona v Juventus,2-1,2 - 0,[80],80
30.10.2021,Atalanta v Lazio,2-2,1 - 1,"[74, 94]",74
28.10.2021,Napoli v Bologna,3-0,2 - 0,[62],62
27.10.2021,Cagliari v AS Roma,1-2,0 - 0,"[52, 71, 78]",52
27.10.2021,Empoli v Inter,0-2,0 - 1,[66],66
27.10.2021,Lazio v Fiorentina,1-0,0 - 0,[52],52
27.10.2021,Juventus v Sassuolo,1-2,0 - 1,"[76, 95]",76
27.10.2021,Sampdoria v Atalanta,1-3,1 - 2,[95],95
27.10.2021,Udinese v Verona,1-1,1 - 0,[83],83
26.10.2021,AC Milan v Torino,1-0,1 - 0,[],100
26.10.2021,Spezia v Genoa,1-1,0 - 0,"[66, 86]",66
26.10.2021,Venezia v Salernitana,1-2,1 - 0,"[61, 95]",61
24.10.2021,Inter v Juventus,1-1,1 - 0,[89],89
24.10.2021,AS Roma v Napoli,0-0,0 - 0,[],100
24.10.2021,Fiorentina v Cagliari,3-0,2 - 0,[49],49
24.10.2021,Verona v Lazio,4-1,2 - 0,"[46, 62, 91]",46
24.10.2021,Atalanta v Udinese,1-1,0 - 0,"[56, 93]",56
23.10.2021,Bologna v AC Milan,2-4,0 - 2,"[49, 52, 84, 90]",49
23.10.2021,Sassuolo v Venezia,3-1,1 - 1,"[50, 67]",50
23.10.2021,Salernitana v Empoli,2-4,0 - 4,"[48, 55]",48
22.10.2021,Sampdoria v Spezia,2-1,2 - 0,[95],95
22.10.2021,Torino v Genoa,3-2,2 - 0,"[70, 77, 81]",70
18.10.2021,Venezia v Fiorentina,1-0,1 - 0,[],100
17.10.2021,Juventus v AS Roma,1-0,1 - 0,[],100
17.10.2021,Napoli v Torino,1-0,0 - 0,[81],81
17.10.2021,Empoli v Atalanta,1-4,1 - 2,"[49, 89]",49
17.10.2021,Genoa v Sassuolo,2-2,1 - 2,[90],90
17.10.2021,Udinese v Bologna,1-1,0 - 0,"[67, 83]",67
17.10.2021,Cagliari v Sampdoria,3-1,1 - 0,"[74, 82, 94]",74
16.10.2021,AC Milan v Verona,3-2,0 - 2,"[59, 76, 78]",59
16.10.2021,Lazio v Inter,3-1,0 - 1,"[64, 81, 91]",64
16.10.2021,Spezia v Salernitana,2-1,0 - 1,"[51, 76]",51
03.10.2021,Atalanta v AC Milan,2-3,0 - 2,"[78, 86, 94]",78
03.10.2021,AS Roma v Empoli,2-0,1 - 0,[48],48
03.10.2021,Fiorentina v Napoli,1-2,1 - 1,[50],50
03.10.2021,Sampdoria v Udinese,3-3,1 - 2,"[48, 69, 82]",48
03.10.2021,Verona v Spezia,4-0,3 - 0,[71],71
03.10.2021,Bologna v Lazio,3-0,2 - 0,[68],68
02.10.2021,Sassuolo v Inter,1-2,1 - 0,"[58, 78]",58
02.10.2021,Torino v Juventus,0-1,0 - 0,[86],86
02.10.2021,Salernitana v Genoa,1-0,0 - 0,[66],66
01.10.2021,Cagliari v Venezia,1-1,1 - 0,[92],92
27.09.2021,Venezia v Torino,1-1,0 - 0,"[56, 78]",56
26.09.2021,Napoli v Cagliari,2-0,1 - 0,[57],57
26.09.2021,Lazio v AS Roma,3-2,2 - 1,"[63, 69]",63
26.09.2021,Empoli v Bologna,4-2,2 - 1,"[54, 77, 90]",54
26.09.2021,Sassuolo v Salernitana,1-0,0 - 0,[54],54
26.09.2021,Udinese v Fiorentina,0-1,0 - 1,[],100
26.09.2021,Juventus v Sampdoria,3-2,2 - 1,"[57, 83]",57
25.09.2021,Genoa v Verona,3-3,0 - 1,"[49, 77, 80, 85, 91]",49
25.09.2021,Inter v Atalanta,2-2,1 - 2,[71],71
25.09.2021,Spezia v AC Milan,1-2,0 - 0,"[48, 80, 86]",48
23.09.2021,AS Roma v Udinese,1-0,1 - 0,[],100
23.09.2021,Sampdoria v Napoli,0-4,0 - 2,"[50, 59]",50
23.09.2021,Torino v Lazio,1-1,0 - 0,"[76, 91]",76
22.09.2021,AC Milan v Venezia,2-0,0 - 0,"[68, 82]",68
22.09.2021,Cagliari v Empoli,0-2,0 - 1,[69],69
22.09.2021,Salernitana v Verona,2-2,1 - 2,[76],76
22.09.2021,Spezia v Juventus,2-3,1 - 1,"[49, 66, 72]",49
21.09.2021,Atalanta v Sassuolo,2-1,2 - 1,[],100
21.09.2021,Fiorentina v Inter,1-3,1 - 0,"[52, 55, 87]",52
21.09.2021,Bologna v Genoa,2-2,0 - 0,"[49, 55, 85, 89]",49
20.09.2021,Udinese v Napoli,0-4,0 - 2,"[52, 84]",52
19.09.2021,Juventus v AC Milan,1-1,1 - 0,[76],76
19.09.2021,Lazio v Cagliari,2-2,1 - 0,"[46, 62, 83]",46
19.09.2021,Verona v AS Roma,3-2,0 - 1,"[49, 54, 58, 63]",49
19.09.2021,Venezia v Spezia,1-2,0 - 1,"[59, 94]",59
19.09.2021,Empoli v Sampdoria,0-3,0 - 1,"[52, 70]",52
18.09.2021,Salernitana v Atalanta,0-1,0 - 0,[75],75
18.09.2021,Inter v Bologna,6-1,3 - 0,"[54, 63, 68, 86]",54
18.09.2021,Genoa v Fiorentina,1-2,0 - 0,"[60, 89, 98]",60
17.09.2021,Sassuolo v Torino,0-1,0 - 0,[83],83
13.09.2021,Bologna v Verona,1-0,0 - 0,[78],78
12.09.2021,AS Roma v Sassuolo,2-1,1 - 0,"[57, 91]",57
12.09.2021,AC Milan v Lazio,2-0,1 - 0,[67],67
12.09.2021,Cagliari v Genoa,2-3,1 - 0,"[56, 59, 69, 78]",56
12.09.2021,Spezia v Udinese,0-1,0 - 0,[89],89
12.09.2021,Torino v Salernitana,4-0,1 - 0,"[65, 87, 91]",65
12.09.2021,Sampdoria v Inter,2-2,1 - 2,[47],47
11.09.2021,Atalanta v Fiorentina,1-2,0 - 1,"[49, 65]",49
11.09.2021,Napoli v Juventus,2-1,0 - 1,"[57, 85]",57
11.09.2021,Empoli v Venezia,1-2,0 - 1,"[68, 89]",68
29.08.2021,AC Milan v Cagliari,4-1,4 - 1,[],100
29.08.2021,Salernitana v AS Roma,0-4,0 - 0,"[48, 52, 69, 79]",48
29.08.2021,Genoa v Napoli,1-2,0 - 1,"[69, 84]",69
29.08.2021,Sassuolo v Sampdoria,0-0,0 - 0,[],100
28.08.2021,Fiorentina v Torino,2-1,1 - 0,"[70, 89]",70
28.08.2021,Juventus v Empoli,0-1,0 - 1,[],100
28.08.2021,Atalanta v Bologna,0-0,0 - 0,[],100
28.08.2021,Lazio v Spezia,6-1,3 - 1,"[47, 70, 85]",47
27.08.2021,Verona v Inter,1-3,1 - 0,"[47, 83, 94]",47
27.08.2021,Udinese v Venezia,3-0,1 - 0,"[70, 93]",70
23.08.2021,Sampdoria v AC Milan,0-1,0 - 1,[],100
23.08.2021,Cagliari v Spezia,2-2,0 - 1,"[58, 62, 66]",58
22.08.2021,AS Roma v Fiorentina,3-1,1 - 0,"[60, 64, 79]",60
22.08.2021,Napoli v Venezia,2-0,0 - 0,"[62, 73]",62
22.08.2021,Bologna v Salernitana,3-2,0 - 0,"[52, 59, 70, 75, 77]",52
22.08.2021,Udinese v Juventus,2-2,0 - 2,"[51, 83]",51
21.08.2021,Empoli v Lazio,1-3,1 - 3,[],100
21.08.2021,Torino v Atalanta,1-2,0 - 1,"[79, 93]",79
21.08.2021,Inter v Genoa,4-0,2 - 0,"[74, 87]",74
21.08.2021,Verona v Sassuolo,2-3,0 - 1,"[51, 71, 77, 90]",51
