events,placarFull,placarHafTime,golsHalfTime,timesgol
Manchester City v Crystal Palace,4-0,1 - 0,"[56, 68, 88]",56
Liverpool v Manchester Utd,0-0,0 - 0,[],100
Sheffield Utd v Tottenham,1-3,0 - 2,"[59, 62]",59
Leicester v Southampton,2-0,1 - 0,[95],95
Fulham v Chelsea,0-1,0 - 0,[78],78
Leeds v Brighton,0-1,0 - 1,[],100
West Ham v Burnley,1-0,1 - 0,[],100
Wolverhampton v West Bromwich,2-3,2 - 1,"[52, 56]",52
Arsenal v Crystal Palace,0-0,0 - 0,[],100
Tottenham v Fulham,1-1,1 - 0,[74],74
Manchester City v Brighton,1-0,1 - 0,[],100
Burnley v Manchester Utd,0-1,0 - 0,[71],71
Wolverhampton v Everton,1-2,1 - 1,[77],77
Sheffield Utd v Newcastle,1-0,0 - 0,[73],73
Southampton v Liverpool,1-0,1 - 0,[],100
Chelsea v Manchester City,1-3,0 - 3,[92],92
Newcastle v Leicester,1-2,0 - 0,"[55, 72, 82]",55
West Bromwich v Arsenal,0-4,0 - 2,"[60, 64]",60
Brighton v Wolverhampton,3-3,1 - 3,"[46, 70]",46
Crystal Palace v Sheffield Utd,2-0,2 - 0,[],100
Tottenham v Leeds,3-0,2 - 0,[50],50
Manchester Utd v Aston Villa,2-1,1 - 0,"[58, 61]",58
Everton v West Ham,0-1,0 - 0,[86],86
Newcastle v Liverpool,0-0,0 - 0,[],100
Manchester Utd v Wolverhampton,1-0,0 - 0,[93],93
Brighton v Arsenal,0-1,0 - 0,[66],66
Burnley v Sheffield Utd,1-0,1 - 0,[],100
Southampton v West Ham,0-0,0 - 0,[],100
West Bromwich v Leeds,0-5,0 - 4,[72],72
Chelsea v Aston Villa,1-1,1 - 0,[50],50
Crystal Palace v Leicester,1-1,0 - 0,"[58, 83]",58
Wolverhampton v Tottenham,1-1,0 - 1,[86],86
Liverpool v West Bromwich,1-1,1 - 0,[82],82
West Ham v Brighton,2-2,0 - 1,"[60, 70, 82]",60
Leeds v Burnley,1-0,1 - 0,[],100
Manchester City v Newcastle,2-0,1 - 0,[55],55
Sheffield Utd v Everton,0-1,0 - 0,[80],80
Arsenal v Chelsea,3-1,2 - 0,"[56, 85]",56
Aston Villa v Crystal Palace,3-0,1 - 0,"[66, 76]",66
Fulham v Southampton,0-0,0 - 0,[],100
Leicester v Manchester Utd,2-2,1 - 1,"[79, 85]",79
Chelsea v West Ham,3-0,1 - 0,"[78, 80]",78
Burnley v Wolverhampton,2-1,1 - 0,"[51, 89]",51
West Bromwich v Aston Villa,0-3,0 - 1,"[84, 88]",84
Manchester Utd v Leeds,6-2,4 - 1,"[66, 70, 73]",66
Tottenham v Leicester,0-2,0 - 1,[59],59
